avg_entropy,avg_reward_per_episode,best_tax_advantage,cumulative_reward,dead_end_count,env_variant,episode_count,invalid_count,loophole,loss,positive_reward_count,random_action_prob,random_exploration_count,run,saved_snapshots,seed,source_dir,success_count,success_rate,total_steps,update
4.2181,-10.990833333333311,0,-131.88999999999973,,hard,12,119,barnes_group,0.9736322363217672,0,0.2463,33,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,512,3
3.994,-10.569166666666643,0,-126.82999999999971,,hard,12,114,barnes_group,0.753663182258606,0,0.245,29,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,640,4
4.0141,-10.984166666666644,0,-131.80999999999972,,hard,12,119,barnes_group,0.7608048518498739,0,0.2438,33,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,768,5
3.6453,-10.407499999999978,0,-124.88999999999973,,hard,12,112,barnes_group,0.73346346616745,0,0.2426,32,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,896,6
3.9593,-10.988333333333308,0,-131.8599999999997,,hard,12,119,barnes_group,0.8638622562090555,0,0.2414,40,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1024,7
3.9356,-11.233333333333306,0,-134.79999999999967,,hard,12,122,barnes_group,0.861551304658254,0,0.2402,25,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1152,8
4.1527,-11.483333333333306,0,-137.79999999999967,,hard,12,125,barnes_group,0.9940529664357504,0,0.239,32,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1280,9
4.169,-11.483333333333306,0,-137.79999999999967,,hard,12,125,barnes_group,0.8722259004910787,0,0.2378,26,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1408,10
3.8126,-11.31666666666664,0,-135.79999999999967,,hard,12,123,barnes_group,0.8129894137382507,0,0.2366,22,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1536,11
4.1419,-11.076666666666641,0,-132.9199999999997,,hard,12,120,barnes_group,1.1610175371170044,0,0.2354,36,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1664,12
4.0676,-11.316666666666642,0,-135.7999999999997,,hard,12,123,barnes_group,0.8889656066894531,0,0.2342,39,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1792,13
3.7728,-11.15166666666664,0,-133.81999999999968,,hard,12,121,barnes_group,0.7634564638137817,0,0.2331,22,1,,1730,experiments/results/loophole_learning_metrics_hard_nomask_actioncost_barnes_group_938459_0_20260812_163718,0,0,1920,14
